"Contact Us",Contacto
"Order ID","Número de pedido"
"Short Description","descripción corta"
"Marketing","Marketing"
SKU,"Código de producto (SKU)"
"Stock Status","Estado de stock"
"Unable to remove Stock Status for product %1","No se puede eliminar el estado de stock del producto %1"
"In Stock","En stock"
"Out of Stock","Fuera de stock"
"Allow Alert When Product Comes Back in Stock","Avisar cuando el artículo vuelva a estar en stock."
"Stock Alert Subscriptions","Alerta de suscripción de stock"
"Manage Stock","Gestionar stock"
"Stock Options","Opciones de stock"
"Decrease Stock When Order is Placed","Disminuir el stock cuando se realiza un pedido"
"Set Items' Status to be In Stock When Order is Cancelled","Restablecer el stock cuando la orden de venta se cancele"
"Product Stock Options","Opciones de stock de artículo"
"Automatically Return Credit Memo Item to Stock","Devolver automáticamente artículo de factura de abono a stock"
"You will no longer receive stock alerts for this product.","Usted no recibirá más alertas dstock para este artículo."
"You will no longer receive stock alerts.","Usted no recibirá más alertas de stock."
"Unsubscribe from all stock alerts","Darse de baja de todas las alertas de stock"
"Stock Alert Email Template","Plantilla de correo electrónico de alerta de stock"
"Return to Stock","Artículos para devolver a stock"
"Country of Manufacture", "País de orígen"
